MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,MaxPartialCharge,MaxAbsPartialCharge,FpDensityMorgan1,AvgIpc,BalabanJ,HallKierAlpha,Ipc,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,SlogP_VSA8,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState4,VSA_EState5,VSA_EState7,VSA_EState8,VSA_EState9,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumSaturatedHeterocycles,MolLogP,Value
11.784738,0.069316894,-0.83025026,0.74561435,35.0,340.423,0.30892423,0.4809473,1.24,2.9859219,1.5381337,-1.85,1031170.2,0.0,0.0,0.0,0.0,5.9693055,9.694447,0.0,0.0,0.0,18.1991,49.14892,29.686365,18.063713,16.87223,0.0,9.883888,17.753717,37.829094,13.089513,35.522846,0.0,0.0,0.0,0.0,0.0,11.215359,17.753717,36.561684,0.0,10.902925,0.0,11.959747,12.338728,32.35198,22.160305,0.0,0.0,34.149357,0.0,0.0,0.0,17.936361,3.8505294,-0.9809952,2.7497413,2.0036354,0.0,1.0,2.0,1.0,1.0,2.0,1.0,2.5587,4.4
13.598546,0.0963349,-1.8644274,0.30915898,19.11111,484.488,0.34267634,0.45819774,1.0555556,3.5032053,1.5058093,-4.24,361114900.0,6.606882,36.038517,6.7929425,5.559267,5.9693055,4.794537,14.345615,0.0,0.0,12.990105,18.553556,40.27568,29.012764,16.87223,0.0,9.551078,0.0,38.642006,6.7929425,81.3995,22.886879,19.600092,0.0,11.499023,0.0,34.828846,0.0,35.598366,0.0,22.290781,0.0,25.379913,52.619995,16.513126,0.0,17.557203,42.72552,4.5670996,19.194567,20.148758,0.0,31.037909,2.3521967,0.54906505,4.074347,2.5819256,0.0,0.0,3.0,1.0,3.0,4.0,0.0,2.1441,6.68
13.230323,0.0,-1.8406696,0.45450687,18.71875,457.914,0.34267634,0.50759816,1.25,3.0967546,2.449997e-06,-2.94,12269942.0,12.356394,5.601051,0.0,5.559267,5.9693055,4.794537,9.778516,0.0,12.407033,6.923737,44.781635,28.621336,29.012764,29.279263,0.0,14.450988,0.0,38.642006,14.095344,56.873077,17.137367,5.559267,0.0,5.7495117,12.407033,34.828846,0.0,35.598366,0.0,22.290781,0.0,36.743515,41.12097,16.513126,0.0,29.689938,25.06162,0.0,9.720841,6.714346,0.0,32.276592,2.0297592,-0.5323086,0.10407248,2.4076915,3.855624,0.0,2.0,1.0,2.0,3.0,0.0,2.2686,5.97
12.857226,0.008932351,-0.93490833,0.45865208,14.346154,358.39,0.30589637,0.5071546,1.1538461,2.5669963,2.4619787,-2.89,410383.12,17.60299,11.56649,0.0,0.0,5.9693055,14.383612,0.0,0.0,0.0,18.572863,38.47705,18.414747,11.126903,17.535795,0.0,0.0,0.0,46.13764,0.0,46.557888,11.499023,0.0,0.0,11.499023,0.0,9.5314,0.0,60.749653,0.0,0.0,0.0,35.291164,6.4208217,23.781858,0.0,6.0760202,20.771212,0.0,4.736863,5.4156876,0.0,37.210094,0.46186087,-2.4946268,2.9732394,5.566081,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.4714,3.84
12.87117,0.6420687,-4.357632,0.4175832,11.703704,364.37,0.41591024,0.41591024,0.7777778,2.6749244,1.958955,-3.21,1613685.6,0.0,0.0,0.0,0.0,6.1762986,4.9839787,4.9839787,13.171246,0.0,42.46457,42.31611,17.323746,22.290781,11.0334015,0.0,9.9679575,0.0,13.100036,0.0,84.05379,22.384283,0.0,13.171246,0.0,0.0,6.1762986,6.923737,11.126903,0.0,33.417683,0.0,0.0,16.77408,34.33979,12.132734,12.26321,43.32194,9.9679575,0.0,38.61351,0.0,9.167563,4.923504,0.0,-2.641668,1.92704,0.0,0.0,0.0,2.0,2.0,4.0,0.0,6.29102,4.15
13.052698,0.121295884,-1.8131318,0.39337313,20.148148,363.373,0.34267634,0.45819774,1.3333334,3.022868,1.8119698,-3.19,2217273.8,6.606882,5.601051,0.0,5.559267,5.9693055,4.794537,9.778516,0.0,0.0,12.990105,30.68629,22.200514,29.012764,22.559616,0.0,9.551078,0.0,32.097248,5.7336674,57.375996,11.387856,11.292934,5.6873865,0.0,0.0,28.28409,0.0,30.034914,0.0,22.290781,0.0,18.586971,34.746902,16.466377,0.0,17.557203,24.265469,0.0,15.454509,6.6847997,0.0,29.92432,8.129894,-0.7228568,0.121295884,1.9211591,0.0,0.0,2.0,1.0,2.0,3.0,0.0,1.6618,6.19
5.8113647,0.5265901,0.5265901,0.3741686,16.5,431.54,0.13749196,0.4967437,1.0625,3.1524749,1.7269858,-3.16,34054950.0,23.885942,0.0,0.0,0.0,0.0,0.0,4.9839787,0.0,0.0,23.354815,43.924263,54.80036,12.626498,22.432472,0.0,15.200677,5.1557126,0.0,65.435715,53.591473,16.876415,14.953561,5.817863,5.7495117,0.0,4.837589,0.0,11.126903,0.0,22.029827,0.0,0.0,6.606882,83.15957,0.0,7.1097975,26.228079,50.604156,14.55843,5.5409894,0.0,15.407325,6.208262,1.8228178,0.0,5.0846953,5.7482843,1.0,1.0,2.0,1.0,3.0,1.0,2.964,5.07
13.543347,0.016967686,-0.6701152,0.3735667,26.136364,608.688,0.33827433,0.49668697,0.90909094,3.4337175,1.2935647,-3.96,10500350000.0,17.957445,11.499023,5.7495117,0.0,11.938611,9.694447,4.794537,0.0,0.0,0.0,60.927197,42.86253,53.072186,22.841536,0.0,9.883888,17.753717,37.512238,55.7483,47.152668,22.998047,18.947453,0.0,22.998047,0.0,25.425947,17.753717,40.49885,0.0,10.902925,0.0,29.41041,23.669357,37.19737,45.082794,26.35233,12.132734,15.950255,33.15804,39.11258,0.0,33.14177,3.8273528,0.4406279,0.91975313,1.6825184,9.1008005,1.0,2.0,2.0,1.0,3.0,1.0,4.1711,3.8
5.7041936,0.5826699,0.5826699,0.3854077,13.851851,361.445,0.11908144,0.4967437,1.037037,3.0056844,1.7837796,-2.92,2234852.5,18.068079,0.0,0.0,0.0,0.0,4.9839787,0.0,0.0,0.0,23.354815,50.345085,34.81818,12.626498,16.61461,0.0,9.883888,5.1557126,6.4208217,34.35678,59.788315,16.876415,4.736863,0.0,5.7495117,0.0,4.837589,0.0,17.547724,0.0,22.029827,0.0,0.0,6.606882,57.583508,0.0,7.1097975,36.52868,41.267677,9.574451,5.426539,0.0,12.469071,6.103654,0.8047487,2.857378,1.5536033,5.7885675,1.0,0.0,2.0,1.0,3.0,0.0,3.9445,4.4
12.33306,0.00077699864,-0.8589172,0.29991758,41.48649,512.731,0.33044142,0.47788978,1.1351352,3.0331848,1.7272942,-1.88,81148900.0,6.103966,0.0,0.0,0.0,11.938611,4.794537,4.794537,0.0,0.0,59.770485,97.01439,17.911833,6.103966,11.938611,0.0,0.0,39.41368,112.54358,0.0,34.947372,0.0,0.0,0.0,0.0,0.0,14.325937,39.41368,100.33565,0.0,0.0,0.0,39.8372,23.326822,44.94575,18.069946,6.923737,6.0760202,53.69446,4.736863,6.142792,0.0,23.565983,2.6829562,0.018751414,12.446482,17.053022,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.8614,4.6
12.869212,0.01861111,-0.9526398,0.4755914,14.576923,358.39,0.3084906,0.5071546,1.1153846,2.5600507,2.4968605,-2.89,368381.06,17.60299,11.56649,0.0,0.0,5.9693055,14.383612,0.0,0.0,0.0,25.4966,32.05623,11.993926,17.04481,17.535795,0.0,0.0,5.9179063,40.219738,0.0,46.557888,11.499023,0.0,0.0,11.499023,0.0,9.5314,5.9179063,54.83175,0.0,0.0,0.0,28.87034,0.0,23.781858,0.0,19.923494,13.847474,0.0,4.736863,5.436706,0.0,37.33001,0.43682304,-2.9444022,2.1408129,7.0643153,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.3273,4.08
12.803586,0.29949203,-0.3745139,0.43410656,15.611111,240.233,0.34382203,0.42224923,1.0,2.6889727,2.065208,-2.42,21855.97,11.566732,0.0,0.0,0.0,5.9693055,0.0,9.184952,0.0,0.0,30.331835,29.838573,5.5634513,5.5731044,17.61843,0.0,0.0,0.0,0.0,0.0,65.47506,5.7495117,4.736863,4.390415,5.7495117,0.0,4.794537,5.8172207,11.126903,0.0,11.649125,0.0,11.786526,11.322617,11.126903,12.132734,24.275122,18.1991,0.0,4.736863,17.93767,0.0,11.73794,2.0315614,-0.10839325,1.7019907,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,3.2853,3.41
15.478523,0.033817124,-1.3667985,0.390895,15.324325,501.558,0.34072313,0.49223834,1.1351352,3.3885198,1.6528755,-4.17,319238460.0,11.250837,11.566732,5.4287906,0.0,5.9693055,4.794537,9.184952,0.0,0.0,54.597305,41.640205,25.831112,18.012722,22.559616,0.0,4.5670996,11.651573,12.965578,31.643976,94.02797,16.876415,20.79923,10.077802,5.7495117,0.0,6.5447564,11.7351265,22.342262,0.0,22.029827,4.390415,29.285786,25.15097,29.177544,13.306642,4.5670996,59.49721,0.0,10.4705305,22.852541,0.0,26.8674,8.312807,-1.5449915,2.1434846,1.9497806,1.4333103,0.0,1.0,3.0,1.0,4.0,1.0,4.3477,4.59
14.861972,0.0404114,-1.3416452,0.391094,15.617647,461.497,0.3407231,0.477497,1.2647059,3.5460367,1.5246993,-3.98,91351384.0,11.380672,0.0,5.4287906,0.0,5.9693055,4.794537,13.8667555,5.098682,0.0,12.132734,61.32353,37.06627,16.891474,22.559616,0.0,19.664373,5.9179063,12.965578,24.951057,88.22255,5.6873865,16.062368,10.077802,0.0,0.0,6.5447564,11.7351265,22.342262,0.0,16.590311,0.0,5.3862243,30.211506,36.827538,6.1968436,21.512114,36.52868,15.732259,0.0,18.285103,0.0,24.494358,1.4657735,-1.51461,5.885188,2.752453,0.0,0.0,1.0,2.0,2.0,4.0,1.0,3.0942,3.7
12.976643,0.000396353,0.000396353,0.60059243,12.52,333.391,0.19751514,0.50788397,1.08,2.8828576,1.9431647,-2.92,691709.94,11.567374,5.783245,0.0,0.0,0.0,4.794537,4.9839787,0.0,0.0,24.265469,31.791529,35.669006,11.0801525,22.504032,0.0,9.883888,0.0,0.0,32.501644,53.591473,16.876415,5.3167887,5.817863,5.7495117,0.0,0.0,0.0,15.92144,0.0,22.029827,0.0,11.532757,29.006224,23.057884,0.0,12.132734,44.427177,15.200677,0.0,0.0,0.0,19.6703,3.8319342,0.7438687,0.0,1.5099769,3.9979544,1.0,0.0,2.0,1.0,3.0,0.0,3.1253,5.7
13.0280075,0.10476696,-1.8331318,0.49943274,20.148148,364.357,0.34267634,0.50725096,1.2962962,3.022868,1.8119698,-3.19,2217273.8,12.356394,5.601051,0.0,5.559267,5.9693055,4.794537,9.778516,0.0,0.0,12.990105,30.68629,16.513126,29.012764,16.87223,0.0,9.551078,0.0,32.097248,0.0,57.375996,17.137367,5.559267,0.0,5.7495117,0.0,28.28409,0.0,30.034914,0.0,22.290781,0.0,24.336483,39.96244,5.5634513,0.0,35.756306,6.066367,4.9839787,4.736863,6.6274543,0.0,29.80574,1.0404253,-0.6099855,0.10476696,1.8317147,0.0,0.0,2.0,1.0,2.0,3.0,0.0,1.7852,6.06
13.635736,0.090417735,-1.873108,0.2938867,19.243244,499.503,0.34267634,0.4861216,1.054054,3.2912526,1.5022297,-4.31,538332160.0,19.820646,36.038517,0.0,5.559267,5.9693055,9.778516,9.778516,4.5670996,0.0,6.923737,18.553556,28.142946,41.406452,16.87223,0.0,14.535057,0.0,38.642006,13.213764,75.594086,22.886879,19.600092,0.0,11.499023,0.0,34.828846,0.0,35.598366,0.0,22.290781,0.0,18.586971,65.83376,16.513126,0.0,29.950891,29.093521,4.9839787,19.194567,20.518354,0.0,35.233494,2.244924,0.54262173,7.2973104,3.2884972,0.0,0.0,3.0,1.0,3.0,4.0,0.0,1.5816,6.74
13.201075,0.037106264,-1.9238857,0.2815422,20.0,437.364,0.34267634,0.45819774,1.25,3.3729339,1.6318588,-3.99,31983096.0,6.606882,11.350563,12.542454,5.559267,11.656692,14.908855,9.778516,0.0,0.0,6.923737,18.553556,17.19327,39.3223,22.559616,0.0,9.551078,0.0,32.097248,6.7929425,55.35758,22.886879,15.032992,5.6873865,11.499023,0.0,28.28409,10.114318,30.034914,0.0,22.290781,0.0,60.064938,22.468008,0.0,4.5670996,25.122839,0.0,4.9839787,14.210588,17.146252,0.0,41.29837,-0.3676295,-0.526368,0.037106264,1.4196289,0.0,0.0,3.0,1.0,2.0,3.0,0.0,1.7165,6.82
13.07739,0.11066715,-1.7931318,0.5259679,20.185184,362.385,0.34267634,0.45819774,1.2962962,3.022868,1.8119698,-2.99,2217273.8,6.606882,5.601051,0.0,5.559267,5.9693055,4.794537,9.778516,0.0,0.0,19.05647,37.107113,16.513126,29.012764,16.87223,0.0,9.551078,0.0,39.020985,0.0,62.939445,11.387856,5.559267,0.0,0.0,0.0,28.28409,6.923737,35.598366,0.0,22.290781,0.0,18.586971,23.365587,27.723757,0.0,17.557203,25.122839,6.066367,9.720841,6.742145,0.0,30.042902,2.9738348,-0.7063279,0.13782482,4.0460124,0.0,0.0,2.0,1.0,2.0,3.0,0.0,2.38802,7.42
13.547224,0.09234903,-1.8674836,0.39668992,19.428572,472.457,0.34267634,0.45819774,1.1142857,3.607329,1.5121237,-4.18,230053600.0,6.606882,17.100075,6.7929425,5.559267,5.9693055,4.794537,14.762494,0.0,0.0,6.923737,24.117006,41.517937,35.340084,16.87223,0.0,19.102156,0.0,38.642006,6.7929425,69.52772,22.886879,15.032992,0.0,11.499023,0.0,34.828846,0.0,35.598366,0.0,22.290781,0.0,25.379913,52.619995,16.513126,0.0,30.081367,22.896677,4.9839787,19.194567,19.956459,0.0,35.089165,2.2320125,0.52357084,5.425669,2.5102527,0.0,0.0,3.0,1.0,3.0,4.0,0.0,2.0531,6.8
15.366485,0.07923357,-1.4015965,0.40696314,15.351352,505.521,0.34072313,0.4922383,1.1081082,3.3093376,1.6449709,-4.24,256253550.0,17.068058,11.566732,5.4287906,0.0,5.9693055,4.794537,13.575367,0.0,0.0,36.3982,41.310276,31.872953,18.012722,22.559616,0.0,4.5670996,5.7336674,19.00742,25.09922,93.77882,16.876415,20.79923,14.468216,5.7495117,0.0,6.5447564,11.634441,22.342262,0.0,22.029827,4.390415,35.22694,25.027035,22.756721,25.439375,21.599743,24.265469,0.0,10.4705305,35.893314,0.0,26.675789,7.834205,-2.2398088,1.9509916,1.1577606,1.3939731,0.0,1.0,3.0,1.0,4.0,1.0,4.2392,4.23
13.134138,0.11429405,-1.8254596,0.4932514,20.965517,392.367,0.34267634,0.45819774,1.137931,3.3153057,1.6050011,-3.39,8968144.0,6.606882,17.100075,6.7929425,5.559267,5.9693055,4.794537,9.778516,0.0,0.0,6.923737,24.619923,22.579494,29.012764,16.87223,0.0,9.551078,0.0,32.097248,6.7929425,51.309628,22.886879,15.032992,0.0,11.499023,0.0,28.28409,0.0,30.034914,0.0,22.290781,0.0,25.379913,40.55854,16.466377,0.0,17.557203,18.1991,0.0,19.194567,17.58895,0.0,30.125914,1.3924038,0.5779609,0.11429405,2.0976071,0.0,0.0,3.0,1.0,2.0,3.0,0.0,1.8083,7.28
14.183344,0.12418702,-1.9273754,0.11040542,38.25,740.664,0.23863268,0.5079662,0.6730769,3.1109524,1.4110843,-3.67,202233330000.0,83.15348,18.15424,23.758356,0.0,0.0,4.794537,0.0,0.0,0.0,0.0,38.11294,17.696186,18.814816,10.969244,0.0,0.0,0.0,105.96515,6.606882,46.62153,34.321747,14.902516,0.0,22.998047,0.0,18.947453,0.0,13.847474,0.0,22.292944,0.0,28.405743,0.0,12.132734,38.11294,0.0,0.0,0.0,32.83833,40.070755,0.0,14.183344,-1.2000798,-2.0666533,-24.063156,1.9678729,0.0,0.0,3.0,2.0,1.0,3.0,3.0,-2.892,3.59
13.188997,0.0,-1.8209208,0.28795698,18.870968,440.887,0.34267634,0.45819774,1.3548387,3.1148088,2.3119974e-06,-3.23,10004187.0,6.606882,5.601051,0.0,5.559267,5.9693055,9.786942,9.778516,0.0,12.407033,12.990105,30.68629,29.248186,35.3513,41.305183,0.0,9.551078,4.992405,32.097248,12.364461,57.375996,11.387856,10.876056,5.6873865,0.0,12.407033,28.28409,0.0,30.034914,0.0,22.290781,0.0,30.994003,29.059515,22.153763,0.0,30.94341,24.265469,10.309194,9.720841,6.736491,0.0,34.207798,2.3826973,-0.7223652,1.7278132,1.9258186,1.685377,0.0,2.0,1.0,2.0,3.0,0.0,2.5714,5.18
